month,year,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_list_price,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,parent_metro_region,parent_metro_region_metro_code
June,2024,"Belmont, VA",Belmont,Virginia,VA,All Residential,-1,914000.0,684990.0,10.0,16.0,28.0,18.0,1.8,4.0,1.0125751068170938,0.4,0.3888888888888889,"Washington, DC",47894.0
May,2024,"Topsfield, MA",Topsfield,Massachusetts,MA,Single Family Residential,6,895900.0,794900.0,1.0,,2.0,2.0,2.0,20.0,0.9955550616735191,0.0,,"Boston, MA",14454.0
June,2019,"Wheeling, WV",Wheeling,West Virginia,WV,Condo/Co-op,3,49000.0,145000.0,1.0,1.0,1.0,4.0,4.0,98.0,0.765625,0.0,,"Wheeling, WV",48540.0
September,2015,"Troy, NY",Troy,New York,NY,Townhouse,13,148750.0,99450.0,2.0,1.0,3.0,18.0,9.0,117.0,0.959797156437625,0.0,,"Albany, NY",10580.0
December,2015,"Cattle Creek, CO",Cattle Creek,Colorado,CO,Single Family Residential,6,591000.0,,1.0,1.0,,3.0,3.0,50.0,0.986644407345576,0.0,,"Glenwood Springs, CO",24060.0
October,2021,"Lake Leelanau, MI",Lake Leelanau,Michigan,MI,All Residential,-1,515000.0,,2.0,2.0,,1.0,0.5,57.0,1.1245264655550642,1.0,,"Traverse City, MI",45900.0
June,2014,"Tomales, CA",Tomales,California,CA,Single Family Residential,6,625000.0,,1.0,,,,,65.0,0.9541984732824428,0.0,,"San Rafael, CA",42034.0
April,2021,"Fall River, WI",Fall River,Wisconsin,WI,Single Family Residential,6,245000.0,220000.0,3.0,4.0,4.0,,,49.0,1.1068547763833891,1.0,,"Madison, WI",31540.0
August,2022,"Ronkonkoma, NY",Ronkonkoma,New York,NY,Condo/Co-op,3,330000.0,499922.0,2.0,4.0,3.0,3.0,1.5,53.0,1.08661800486618,0.5,,"Nassau County, NY",35004.0
August,2017,"Kinston, NC",Kinston,North Carolina,NC,All Residential,-1,63000.0,95000.0,11.0,11.0,25.0,102.0,9.3,137.0,0.8525296656340992,0.0,,"Kinston, NC",28820.0
May,2020,"Groveville, NJ",Groveville,New Jersey,NJ,All Residential,-1,237500.0,367800.0,4.0,4.0,5.0,9.0,2.3,40.0,0.925270858444031,0.25,0.1111111111111111,"Trenton, NJ",45940.0
March,2019,"Carle Place, NY",Carle Place,New York,NY,All Residential,-1,520000.0,644000.0,5.0,6.0,8.0,11.0,2.2,72.0,0.9477655515056456,0.2,0.2727272727272727,"Nassau County, NY",35004.0
May,2016,"Welcome, MN",Welcome,Minnesota,MN,Single Family Residential,6,54000.0,59000.0,1.0,1.0,1.0,4.0,4.0,272.0,0.8709677419354838,0.0,,"Fairmont, MN",21860.0
January,2022,"Snoqualmie, WA",Snoqualmie,Washington,WA,Townhouse,13,941000.0,929900.0,2.0,2.0,2.0,,,3.0,1.0868000222105,1.0,,"Seattle, WA",42644.0
November,2017,"Hopewell, VA",Hopewell,Virginia,VA,Multi-Family (2-4 Unit),4,78500.0,,2.0,,,,,29.0,0.9551031004302032,0.0,,"Richmond, VA",40060.0
April,2024,"Delcambre, LA",Delcambre,Louisiana,LA,Single Family Residential,6,80000.0,156400.0,2.0,2.0,1.0,3.0,1.5,57.0,0.7619047619047618,0.0,0.3333333333333333,"Lafayette, LA",29180.0
April,2014,"Eastmont, WA",Eastmont,Washington,WA,All Residential,-1,398475.0,349950.0,28.0,42.0,46.0,49.0,1.8,10.0,0.9941730102074884,0.3214285714285714,0.2040816326530612,"Seattle, WA",42644.0
January,2023,"Morton Grove, IL",Morton Grove,Illinois,IL,Single Family Residential,6,415000.0,348950.0,13.0,17.0,13.0,34.0,2.6,59.0,1.006439019738127,0.3846153846153846,0.0588235294117647,"Chicago, IL",16984.0
April,2019,"Arlington Heights, WA",Arlington Heights,Washington,WA,All Residential,-1,736000.0,570000.0,1.0,4.0,4.0,4.0,4.0,143.0,1.0,0.0,,"Seattle, WA",42644.0
April,2012,"West Samoset, FL",West Samoset,Florida,FL,Single Family Residential,6,49900.0,39900.0,7.0,7.0,4.0,18.0,2.6,93.0,1.014862152977624,0.2857142857142857,,"North Port, FL",35840.0
June,2021,"Onamia, MN",Onamia,Minnesota,MN,Single Family Residential,6,100000.0,129450.0,1.0,1.0,2.0,1.0,1.0,25.0,1.001001001001001,1.0,,"Minneapolis, MN",33460.0
October,2013,"Continental Courts, PA",Continental Courts,Pennsylvania,PA,Single Family Residential,6,17900.0,,1.0,1.0,,,,210.0,0.947089947089947,0.0,,"State College, PA",44300.0
February,2012,"St. Augustine, FL",St. Augustine,Florida,FL,Single Family Residential,6,126370.0,167990.0,20.0,19.0,28.0,173.0,8.699999999999998,132.0,0.9127079089516296,0.05,,"Jacksonville, FL",27260.0
February,2019,"North Liberty, IN",North Liberty,Indiana,IN,Single Family Residential,6,85000.0,69900.0,1.0,1.0,1.0,9.0,9.0,29.0,1.0,0.0,,"South Bend, IN",43780.0
October,2021,"Pittsfield, NH",Pittsfield,New Hampshire,NH,All Residential,-1,295000.0,279000.0,5.0,2.0,3.0,6.0,1.2,57.0,1.0313147540597476,0.8,,"Concord, NH",18180.0
March,2017,"Chardon, OH",Chardon,Ohio,OH,Single Family Residential,6,167000.0,219900.0,11.0,13.0,11.0,27.0,2.5,102.0,0.9748333813265228,0.1818181818181818,0.1111111111111111,"Cleveland, OH",17460.0
March,2017,"Fort Worth, TX",Fort Worth,Texas,TX,All Residential,-1,204000.0,219900.0,1084.0,1420.0,1394.0,1866.0,1.7,22.0,0.992786776741433,0.353321033210332,0.2159699892818863,"Fort Worth, TX",23104.0
September,2014,"Dale City, VA",Dale City,Virginia,VA,All Residential,-1,281925.0,265000.0,80.0,101.0,107.0,241.0,3.0,40.0,0.9911718589014928,0.2374999999999999,0.2987551867219916,"Washington, DC",47894.0
July,2017,"Dacono, CO",Dacono,Colorado,CO,Single Family Residential,6,354000.0,330000.0,12.0,9.0,8.0,12.0,1.0,18.0,0.9945184224550032,0.25,0.3333333333333333,"Greeley, CO",24540.0
May,2024,"Burley, ID",Burley,Idaho,ID,All Residential,-1,325000.0,304500.0,14.0,13.0,14.0,36.0,2.6,25.0,0.9916108599169045,0.2142857142857142,0.1944444444444444,"Burley, ID",15420.0
February,2015,"Mendon, OH",Mendon,Ohio,OH,All Residential,-1,17000.0,30000.0,1.0,1.0,3.0,6.0,6.0,6.0,0.5666666666666667,0.0,,"Celina, OH",16380.0
August,2023,"Richfield, MN",Richfield,Minnesota,MN,Condo/Co-op,3,525000.0,325000.0,1.0,4.0,6.0,10.0,10.0,122.0,0.9545454545454544,0.0,0.2,"Minneapolis, MN",33460.0
September,2014,"Woodstock, IL",Woodstock,Illinois,IL,All Residential,-1,147000.0,139900.0,24.0,36.0,49.0,200.0,8.3,72.0,0.95516564751284,0.0416666666666666,0.265,"Chicago, IL",16984.0
